,ID,comments
126,김가가,"누가 성시경은 어느노래든 부르면, 본인곡으로 승화시키는 창법을 가지고있다고해서그전까진 나도 성식이형 파였는데장범준 회상 듣고 생각 완전바뀜. 본인 창법 장난아님 그냥한국 어디에도 장범준처럼 노래부르는사람 찾기힘들정도로 유니크함가창력이런걸떠나서 ㅋㅋ김창완씨 노래를 그렇게 본인곡처럼 부를줄은 몰랐음"
127,잉이이이이,장범준은 아티스트영역이고 성시경은 걍 가수 범위가 다르다고봄
128,녹차먹은돼지,틀딱 남자들이 성시경 느끼하다고 많이들 싫어했지 ㅋㅋ 여자들은 반대로 엄청 좋아했고
129,O.Skipp,포지션이 완전 다른데 무슨 의미가.. 가창력은 성시경 압승이고 작곡 능력은 장범준 압승 장범준은 노래도 하니까 종합점수가 높다고 하는데 성시경도 작곡 능력이 제로인게 아님
130,동탕,걍 지금 포크쪽 원탑 장범준발라드쪽 원탑 성시경인거지이걸 누가 낫니 마니 싸우는게 이상한거 아님?
131,반코,"벚꽃엔딩이 불후의 명곡은 틀림없지만 거의 대부분 노래가 허어~어어~  원툴이고 목소리가 금방 질림성시경은 전문가들, 프로듀서들이 뽑은 올타임 넘버원 급 보컬"
132,무슨,ZUTOMAYO 정보) 너는나의봄이다의 작곡가는 성시경이다
133,황족첼붕이,ZUTOMAYO 뭐 작곡능력면에서는 장범준이 위다 이런말하고싶은거아님? 성시경 작곡못함 이런뜻은아니고
134,비내리는오후,고점은 장범준이 높아도 히트곡은 성시경이 더 많지 않나.
135,지국천왕,누가 우위인진 모르겠고 둘 다 안 듣다가 성시경 노래는 요새 듣는 중
136,Durex,성시경은 10cm랑 붙어도 10cm가 이기는데
137,긴매,난 굳이 따지자면 장범준 세대인데도성시경이라고 생각하는데..
138,swallow,나도 둘 다 잘나가던 시절 다 경험했고 장범준은 슈스케때 초반에 떨어지기 전부터 얜 무조건 대성할 밴드라고 생각했었고 지금도 엄청 높게보긴하는데그래도 성시경..
139,데이곤,장범준은 성시경보다 sg 와나비랑 비교해야 급이 맞을 거 같은데
140,코코펨한펨착,개인적으로 성발라 노래 더 많이 들어서 성시경
141,magik,난 성시경 학창시절에 진짜 많이 들어서 성시경
142,수정펀치,성시경은 김동률한테도 밀림
143,가기로했으면가,성시경이 활동당시에 1등으로 씹어먹지는 못했어도 고평가 받는 이유가 계속 찾아 듣게되는 노래가 많음앨범 판매량 같은건 성적표로 볼때 중요하지만 결국 누구 노래를 더 많이 들었냐 하면 버스커+솔로 장범준 노래는 한철에만 듣고 그렇게 많이 찾아듣지는 않은듯
144,속삭이는몽자,성시경 전성기 직접겪은 엠팍에서도 장범준 승이면 더 할말없지 뭐
145,한판만할까,성시경 장범준 둘 다 좋긴한데 지금도 듣는건 성시경노래임. 난 성시경
146,토깽이,쥐뿔도 없는 여수를 관광도시 만든게 장범준임 ㅋㅋ그래도 난 성시경 팬이라…성시경도 데뷔때 반짝 인기많다가 2010년쯤 전후로는 느끼발라더로 많이 까였었음. 복고랑 옛날감성이 인기많아지니 재평가 제대로 받은거고. 가창력은 성시경이 넘사. 대중적인 영향력은 장범준이 넘었다고 봄
147,방부제인생,성시경은 보컬이 좋은거긴해...보컬은 씹상위지
148,제육좋다,내가 성시경 데뷔초부터 봤는데 성시경이 장범준에 비교될 급이 아닌데 참 내 ㅡㅡ
149,델짱에로,머야 성시경이 이리 저평가됌?
150,0나니,솔직히 성식이형은 가수로서의 전성기는 이미 10년전에 끝났지. 별그대 OST가 전성기의 마지막 이었다고 봄.이후로는 예능이나 시상식 MC에 더 가깝지. 지금은 유튜버고ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
151,PURPLE,보컬로서냐 뮤지션으로서냐에 따라 답이 달라짐보컬로는 성시경이 압승뮤지션으로서는 장범준이 압승
152,내로남불척결,노래실력으로 하면 성시경그외엔 장범준
153,ㅁㅅㅍㅌ,난 성시경. 우리엄마 장범준 모르고 성시경은 알듯
154,펨코는사랑,장범준은 프로듀싱 능력이 뛰어난거 아님?? 성시경은 보컬리스트인데 비교대상이 이상함
155,러브다이브,의외네 성시경 인기 미친듯이 많았을줄ㅋㅋㅋ거리에서가 워낙 유명해서
156,호나우두나자리우,성시경이 딸려서 장범준이 위인게 아니라성시경도 대단하지만장범준이 히트를 더 잘 친 사람인거
157,qdwqdqwd,난 성시경... 장범준 방송활동안해도 그정도라는데 갠적으로 성시경 방송활동은 오히려 가수 성시경한테는 마이너스라생각해서..
158,밸브,아티스트로 장범준이 걍 압살이지 싶은데... 근데 장범준 노래는 버스커 1집 이후로 몇 곡 안듣고 성시경은 플리에 항상 있음ㅋㅋㅋㅋ
159,웅3,성시경은 이제 '먹을텐데'만 해도 먹고 살 듯.
160,shy9_29,내 취향은 성시경이긴 한데.. 콘서트 가봤는데 진짜 좋았음
161,은월향,아니 근데 진짜  장범준 후려치기 ㅈ대는듯; 성시경 전성기가 장범준급 임팩트였음? 봄되면 어김없이 차트 상위권 스물스물올라오는 봄의 캐롤이라는 곡을 작사작곡하고 그거말고도 꾸준히 메가히트곡이 나왔는데 ㅋㅋ장범준 후려치기가 너무심하네
162,임나우,은월향 나는 성시경이 더 좋은데 절대 그 정돈 아녔음ㅋㅋ
163,홍시우포드,내손을잡아 허어어어어어엉이 대부분인 노래보다 성적낮은 성시경 노래는 뭐임?
164,이시하라사토미.,성시경 노래는 자주 찾아 듣는데 장범준 노래는 신곡 나왔을때 빼고는 찾아듣지는 않게 되더라
165,국가안보,고음 때문에 성시경>장범준이라는 사람들 의견은 들을 가치도 없음케이팝 망치는 주범들임
166,채원.,국가안보 애초에 성시경이 고음으로 유명한게 아닌데 먼소리하노
167,밤11시에,"그 중들이 경전 외듯이 앵앵앵앵 부르는, 듣기 존나 싫은 음색이 장범준이라면 닥치고 성시경이지. 가창력 비벼진다는게 성시경에게 굴욕이다."
168,기묘띠123,성시경이라고 하는 분들은 대부분 노래 실력이나 본인 취향에 많이 점수를 주신 거 같음. 생각해보면 객관적인 영향력을 따졌을 때 장범준이 훨씬 더 큰 거 같은데
169,단잉디임예솔,성시경 고평가 되는게 아마 정통 발라더? 요즘 좀 드물잖아 그런장르의 계보도에 이어지는 인물이라 그런거 같음.
