ID,comments
제드왕,리들리스콧 아니지 치킨이 더 대중적으로 성공한음식이다 이렇게 말하는거라고봐야지지입맛에 피자가 더 맛있다그러면 누가 뭐라그래
리들리스콧,제드왕 그러니까 그게 뭐?vs하면 취향으로 가는거자나원글이 인기에 대한 얘기도 아닌데 왜 계속 인기기준 말하는지를 모르겠네듣고싶은 말이 뭐임?
제드왕,리들리스콧 취향으로가는게 아닌데 누가 더 우위냐 이런거아님? 그런데 지표가 의미있는거고나는 아이유팬이지만 방탄 아이유 누가 대단하냐하면 방탄을고름
리들리스콧,제드왕 대단하냐 명제 빼면?아이유vsbts는?
제드왕,리들리스콧 bts지 누가 더 좋아? 라는 명제가있으면 아이유
리들리스콧,제드왕 팬인데 bts 고른거면 명제를 안뺀거지 ㅋㅋㅋㅋㅋ
제드왕,리들리스콧 명제가 없어도 그런 뉘앙스잖아  vs 붙이면 가수로 누구?이런
리들리스콧,제드왕 가수로 누구 더 좋아함이 될수도 있지부먹vs찍먹 처럼 ㅋㅋvs는 그냥 대비하는 단어인거지가수로 누구 여도 아이유를 bts보다 더 좋아하면 아이유 고르면 되는거고
제드왕,리들리스콧 근데 저거로봤을때는 그런느낌이 아니긴함그런식으로 받아들이는사람이없어서 저런댓글이기도하고너가말하는건 보통 명제를붙이지 누가더좋아요?이런식으로
리들리스콧,제드왕 ㅋㅋㅋㅋㅋ 그러니까 vs가 의미가 없는거명제도 없고 단순 vs 붙여두면 서로 좋은점 얘기하고 까내리고 하기만 하지원글 부터가 단순 vs싸움이라 논쟁하고 댓글들도 개인적견해로 싸우는데 뭘 근거로 그런식이 아니니 소리하냐 ㅋㅋㅋㅋ니 말대로 인기를 말하는 느낌이면 인기지표 가지고 와서 말하면 논쟁될께 없지
제드왕,리들리스콧 그렇지가않음 인기로말하고 인기지표를 가져와도한쪽이 인정을안하면 끝날수가없어 ㅋㅋㅋ
리들리스콧,제드왕 그게 인기를 얘기하는게 아니니까인기 얘기가 아닌 거에 인기지표 들고와서 싸우니까 그러지 아이돌 팬덤싸움처럼 ㅋㅋ
제드왕,리들리스콧 애당초 인기얘기로정하고해도 싸운다니까 ㅋㅋㅋ여기도 누가 더 대단하냐 이런걸로 싸우는애들있는데지표있어도 안듣잖아팬덤이그러는게아니라 인간이 다그럼
리들리스콧,제드왕 대단하냐가 인기 지표만으로 말할수 있는 영역이 아니자나 ㅋㅋ
