,ID,comments
140,모두즐겁게,장범준은 한시대를 만들고 정점에 선사람임..
141,가기로했으면가,성시경이 활동당시에 1등으로 씹어먹지는 못했어도 고평가 받는 이유가 계속 찾아 듣게되는 노래가 많음앨범 판매량 같은건 성적표로 볼때 중요하지만 결국 누구 노래를 더 많이 들었냐 하면 버스커+솔로 장범준 노래는 한철에만 듣고 그렇게 많이 찾아듣지는 않은듯
142,GUMAYUSl,가기로했으면가 버스커 장범준노래를 많이 안찾아듣는다는 소리는 근거없는 소리아님?
143,덤더럼,장범준이 ㅈ으로 보이냐? 막말로 장범준이 연예계 활동 했음 그냥 99대 1 나왔음 ㅋㅋㅋ
144,속삭이는몽자,성시경 전성기 직접겪은 엠팍에서도 장범준 승이면 더 할말없지 뭐
145,한판만할까,성시경 장범준 둘 다 좋긴한데 지금도 듣는건 성시경노래임. 난 성시경
146,토깽이,쥐뿔도 없는 여수를 관광도시 만든게 장범준임 ㅋㅋ그래도 난 성시경 팬이라…성시경도 데뷔때 반짝 인기많다가 2010년쯤 전후로는 느끼발라더로 많이 까였었음. 복고랑 옛날감성이 인기많아지니 재평가 제대로 받은거고. 가창력은 성시경이 넘사. 대중적인 영향력은 장범준이 넘었다고 봄
147,제육좋다,내가 성시경 데뷔초부터 봤는데 성시경이 장범준에 비교될 급이 아닌데 참 내 ㅡㅡ
148,PURPLE,보컬로서냐 뮤지션으로서냐에 따라 답이 달라짐보컬로는 성시경이 압승뮤지션으로서는 장범준이 압승
149,내로남불척결,노래실력으로 하면 성시경그외엔 장범준
150,ㅁㅅㅍㅌ,난 성시경. 우리엄마 장범준 모르고 성시경은 알듯
151,IZ*ONE사쿠,ㅁㅅㅍㅌ 벚꽃엔딩은 아실듯
152,펨코는사랑,장범준은 프로듀싱 능력이 뛰어난거 아님?? 성시경은 보컬리스트인데 비교대상이 이상함
153,어쩔점니,우리아빠 요즘노래 아무것도 모르는데도 벚꽃엔딩 벨소리로 해두심ㅋㅋㅋ
154,호나우두나자리우,성시경이 딸려서 장범준이 위인게 아니라성시경도 대단하지만장범준이 히트를 더 잘 친 사람인거
155,qdwqdqwd,난 성시경... 장범준 방송활동안해도 그정도라는데 갠적으로 성시경 방송활동은 오히려 가수 성시경한테는 마이너스라생각해서..
156,노장금,장범준은 활동도안하고 음원만던지는데 파워존나세잖아
157,어금니꽉깨물어라,다떠나서 장범준 노래를 더많이 들어서난 장범준
158,밸브,아티스트로 장범준이 걍 압살이지 싶은데... 근데 장범준 노래는 버스커 1집 이후로 몇 곡 안듣고 성시경은 플리에 항상 있음ㅋㅋㅋㅋ
159,은월향,아니 근데 진짜  장범준 후려치기 ㅈ대는듯; 성시경 전성기가 장범준급 임팩트였음? 봄되면 어김없이 차트 상위권 스물스물올라오는 봄의 캐롤이라는 곡을 작사작곡하고 그거말고도 꾸준히 메가히트곡이 나왔는데 ㅋㅋ장범준 후려치기가 너무심하네
160,내손을잡아,장범준 노래 허어어어어어어엉이 대부분아녀?
161,이시하라사토미.,성시경 노래는 자주 찾아 듣는데 장범준 노래는 신곡 나왔을때 빼고는 찾아듣지는 않게 되더라
162,국가안보,고음 때문에 성시경>장범준이라는 사람들 의견은 들을 가치도 없음케이팝 망치는 주범들임
163,밤11시에,"그 중들이 경전 외듯이 앵앵앵앵 부르는, 듣기 존나 싫은 음색이 장범준이라면 닥치고 성시경이지. 가창력 비벼진다는게 성시경에게 굴욕이다."
164,기묘띠123,성시경이라고 하는 분들은 대부분 노래 실력이나 본인 취향에 많이 점수를 주신 거 같음. 생각해보면 객관적인 영향력을 따졌을 때 장범준이 훨씬 더 큰 거 같은데
165,장규진,가창력이나 이런거 볼게 아니라 가수면  대중성&그외등등 다 고려 해야하는거 아닌가  그런면에선  장범준이 맞다고봄 둘이 같은 장르도 아니고 전혀 다른 장르인데 비교할꺼면  가창력&대중성 파급력 최고점 등등 다 반영해야지
166,나다나야나,ㄹㅇ취향영역 장범준은 음원이랑 독보적 스타일로 비비는거긴함
167,짭뇨띠,작곡으로 대박친 장범준싱어 역량은 성시경난싱어송라이터를 더 쳐줌 그게 더 어렵자나
168,지다누10,대중성은 장범준나머지는 성시경 압승이지.. 장범준 택하는 사람은 헤이즈 vs 박정현에서도 헤이즈 택할 건가?ㅋㅋ
169,DM,꼬우면 앨범 좀 내라 장범준
