ID,comments
빽투더퓨쳐,전승우승가능 그니까 그럼 이승철이겠지. 난 성시경이 우위라고 한적이 없는데 넌 왜 자꾸 비교질이니 ㅋㅋㅋㅋ 그냥 블라해야겠다 ㅋㅋ장르가 달라서 비교하기 애매한거 아니냐는거에 서태지랑 이승철을갖다대고 있네 얘는 ㅋㅋㅋㅋ
맹모띠,클라우드22 그 시절 발라드는 ㄹㅇ 성시경도 잘했지만 다른 가수들도 다 최절정이였어서
단거가메,난 무조건 성시경인데 의외네
스르르르르르,둘중 한명 고르라면 성시경
23년말까지삼전,어떤걸 기준으로 삼느냐에 따라 다르지나는 성시경노래를 더 즐겨들으니 성시경
밈챠챠,가수들간의 선호도는 취향차이니까 비교하기 어렵지만일반인이 부르는 노래의 난이도는 월등히 성시경이 높다고 생각함
완납적원천징수,"그런데 오해하는 게 있는데 성시경은 sg워너비, 버즈보다 전 세대임00년대 초반 이수영 히트하던 때랑 같은 세대거리에서는 성시경 인기 낮아질 때 부활한 곡이고"
ofe66,모르겠고 난 성시경 노래가 더좋음
염소놀이,가수면노래 실력으로 평가하는게 맞지않나고로 성시경이라고 생각하는데
오로라반사,염소놀이 그럼 성시경>>>>>BTS 임?
Yawah,근데 진짜 성시경이 원탑을 찍어본적이 있음?나 진짜 몰라서 그래.저 시대때 학생이였는데 그렇게 인기 있었다고생각은 안들었는데
곧발롱위너비닐신,"마크로니아 그렇다고 성시경이 서태지, 유재하인 것도 아님"
스텔라장,노래잘하는사람이 이긴거지 성시경 승
바실레우스,내 플레이리스트에 손에 꼽는 한국곡 포함된 성시경 승
상호돈신,성시경 활동하던 때에 버즈 sg워너비 브아솔 많지 않았나 ㅋㅋㅋ
망망치,OMGDMOUP 딴 인기글에선 성시경 발라드 GOAT 란 댓이 추천 천개나 박힘 ㅋㅋ
Hellbat,누구 콘서트 갈래? 하면 성시경.
하츠투,난 성시경 노래 많이알아서
피파온라인3,아넬충 본인 음알못인데 성시경하면 떠오르는거 거리에서밖에 안떠오름 다른곡들도 들으면 어 이노래? 싶은데 제목은 잘모르겠다
까악태,그냥 나는 별 생각없이 성시경 노래가 더 좋음
존망시아,난 성시경이라고 봄
부산큰손,애초에 성시경은 여자팬이 압도적이자너
지방,귀로천 직접 작사작곡 하는 게 높은 평가를 받는 것도 맞지만 이보단성시경은 음반 퀄리티로도 영향력으로도 가창력으로도 당대 최고를 찍은 적이 없다. 라고 결론짓는 게 맞는 것 같습니다. 임재범 이승철 김범수 박효신 등 당대 최정점을 찍은 “보컬리스트”들은 어떻게든 라이터들이 사용해보고 싶어하는 최고의 악기들이니까요쓰다 보니 악기라는 측면에서 보면 성시경이 제가 말한 것보단 높게 평가될 만한 여지가 있긴 하네요
명왕성,공정한나라당 대체 어느세대길래 성시경이 임창정 조성모를 압도적으로 이김?
어웨이큰,"류혜영사랑해 노래 음원성적을 몰라서 히트곡인지는 모르겠는데 성시경 인지도 있는곡은 너무 많은데???그냥 존나 많음.대충생각나는거만 해도희재 , 내게오는길 , 너의모든순간 , 거리에서 , 좋을텐데 , 두사람 , 한번더이별 , 우리제법잘어울려요 , 미소천사 , 첫겨울이니까 , 안녕내사랑 , 넌 감동이었어 , 넌나의봄이다 등등"
나는푸르른,Yawah 막말로 성시경이 실험성있는 가수도 아니긴함 ㅋㅋ그럼 대중성으로 비교해야지
나는착한사람,류혜영사랑해 다 모르는 노래임나 성시경 세대라서거짓말은 지오디 거짓말은 안다
한국,난 성시경
미스즈,어따 갖다 비벼. 성시경이지
엣지러너,제발 그만 비벼 시경맘들 존나 선넘네
